Cumberlandia monodonta
Alasmidonta marginata
Alasmidonta viridis
Amblema plicata
Anodontoides ferussacianus
Arcidens confragosus
Cambarunio iris
Cyclonaias nodulata
Cyclonaias pustulosa
Cyclonaias tuberculata
Cyprogenia stegaria
Ellipsaria lineolata
Elliptio crassidens
Epioblasma flexuosa
Epioblasma obliquata
Epioblasma personata
Epioblasma propinqua
Epioblasma rangiana
Epioblasma sampsonii
Epioblasma torulosa
Epioblasma triquetra
Eurynia dilatate
Fusconaia flava
Fusconaia subrotunda
Hemistena lata
Lampsilis abrupta
Lampsilis Cardium
Lampsilis fasciola
Lampsilis higginsii
Lampsilis hydiana
Lampsilis ovata
Lampsilis sietmani
Lampsilis siliquoidea
Lampsilis teres
Lasmigona complanate
Lasmigona compressa
Lasmigona costata
Leaunio lienosa
Leptodea fragilis
Leptodea leptodon
Ligumia recta
Megalonaias nervosa
Obliquaria reflexa
Obovaria olivaria
Obovaria retusa
Obovaria subrotunda
Ortmanniana ligamentina
Paetulunio fabalis
Plectomerus dombeyanus
Plethobasus cicatricosus
Plethobasus cooperianus
Plethobasus cyphyus
Pleurobema clava
Pleurobema cordatum
Pleurobema plenum
Pleurobema rubrum
Pleurobema sintoxia
Potamilus alatus
Potamilus capax
Potamilus ohiensis
Potamilus purpuratus
Ptychobranchus fasciolaris
Pyganodon grandis
Quadrula fragosa
Quadrula quadrula
Reginaia ebenus
Sagittunio subrostratus
Simpsonaias ambigua
Strophitus undulatus
Theliderma cylindrica
Theliderma metanevra
Toxolasma lividum
Toxolasma parvum
Toxolasma texasiense
Tritogonia nobilis
Tritogonia verrucosa
Truncilla donaciformis
Truncilla truncata
Uniomerus tetralasmus
Utterbackia imbecillis
Utterbackiana suborbiculata
Venustaconcha ellipsiformis
Eupera cubensis
Pisidium adamsi
Pisidium casertanum
Pisidium compressum
Pisidium conventus
Pisidium cruciatum
Pisidium dubium
Pisidium equilaterale
Pisidium fallax
Pisidium ferrugineum
Pisidium idahoense
Pisidium lilljeborgi
Pisidium nitidum
Pisidium punctatum
Pisidium punctiferum
Pisidium rotundatum
Pisidium variabile
Pisidium walkeri
Sphaerium fabale
Sphaerium lacustre
Sphaerium occidentale
Sphaerium partumeium
Sphaerium rhomboideum
Sphaerium secures
Sphaerium simile
Sphaerium striatinum
Sphaerium transversum
Corbicula fluminea
Corbicula largillierti
Dreissena rostriformis bugensis
Dreissena polymorpha
Homo sapiens
Gallus gallus
Bos taurus
Canis lupus familiaris
Equus caballus
Thunnini
Felis catus
Capra hircus
